City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,watertown,42.3709,-71.1828,276.16,63,20,5.66,US,1710824396
84,touros,-5.1989,-35.4608,300.44,81,78,4.12,BR,1710823996
85,geraldton,-28.7667,114.6,304.38,33,0,9.77,AU,1710824387
86,nefta,33.8731,7.8777,291.29,26,97,2.91,TN,1710824479
87,edinburgh of the seven seas,-37.0676,-12.3116,291.93,91,100,7.53,SH,1710824480
88,raduzhny,62.0961,77.475,262.28,88,14,5.14,RU,1710824480
89,princeville,45.7668,-61.2985,275.61,82,75,1.54,CA,1710824481
90,ust-nera,64.5667,143.2,262.08,90,100,2.49,RU,1710824482
91,rio grande,-32.035,-52.0986,297.56,97,91,3.11,BR,1710824041
92,sarina,-21.4333,149.2167,303.85,51,99,5.02,AU,1710824483
93,puerto deseado,-47.7503,-65.8938,286.04,54,73,7.89,AR,1710824484
94,agbabu,6.5886,4.8343,298.64,97,72,0.66,NG,1710824484
95,ushuaia,-54.8,-68.3,274.96,75,0,1.03,AR,1710824358
96,neryungri,56.6709,124.6491,262.75,77,70,0.53,RU,1710824485
97,georgetown,5.4112,100.3354,307.11,53,20,3.6,MY,1710824264
98,choele choel,-39.2667,-65.6833,291.32,21,70,3.7,AR,1710824351
99,ugoofaaru,5.6667,73.0,301.77,74,49,5.24,MV,1710824486
100,xianshuigu,38.985,117.3828,287.15,11,0,5.0,CN,1710824487
101,turaif,31.6725,38.6637,282.29,93,75,5.14,SA,1710824488
102,tomelloso,39.1522,-3.0243,288.44,49,95,2.24,ES,1710824488
103,nizhnesortymskiy,62.4397,71.7603,263.11,86,100,8.78,RU,1710824489
104,tofol,5.3248,163.0078,301.66,77,72,3.52,FM,1710824490
105,rockport,28.0206,-97.0544,293.16,60,0,4.12,US,1710824490
106,inhapi,-9.2214,-37.7486,296.8,85,66,1.76,BR,1710824490
107,pitimbu,-7.4706,-34.8086,300.48,77,53,4.32,BR,1710824491
108,acajutla,13.5928,-89.8275,299.98,69,98,1.99,SV,1710824444
109,tsiombe,-25.3,45.4833,300.03,78,3,2.13,MG,1710824491
110,tafo,6.7345,-1.6127,297.26,84,20,1.49,GH,1710824492
111,tucumcari,35.1717,-103.725,276.06,70,0,2.57,US,1710824493
112,tahta,26.7693,31.5021,287.83,48,2,3.81,EG,1710824493
113,tindouf,27.6711,-8.1474,292.4,16,0,2.57,DZ,1710824494
